sqlId,NumsOfCountry,NumsOfRegion,Query
28001,1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28002,1,0,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28003,1,0,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': ['2080'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 2, 'departRegionId': 27}"
28004,1,0,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28005,1,0,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [], 'pois': ['2080'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
28009,1,0,"{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28012,1,0,"{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1584, 16804], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28016,1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1796, 24438], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28017,2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2644, 19250], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28029,1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28030,1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28036,1,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
28038,1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': None}"
28039,1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28043,1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
28048,1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28055,1,0,"{'days': [], 'countries': [{'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
28056,1,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}, {'region_id': 7, 'day': None}], 'pois': ['747', '950', '812', '740', '813', '820', '835', '1072', '1516', '1531'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
28057,1,0,"{'days': [], 'countries': [{'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1873, 15861], 'hotelRating': None, 'arrivalRegionId': 17, 'departRegionId': 18}"
28059,2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
