Id,Title,Year,Style,Rating,Comments,Country,Quote,Link
0,肖申克的救赎,                            1994 , 犯罪/剧情,9.6,852255, 美国 ,希望让人自由。,https://movie.douban.com/subject/1292052/
1,霸王别姬,                            1993 , 剧情/爱情/同性,9.5,610875, 中国大陆/香港 ,风华绝代。,https://movie.douban.com/subject/1291546/
2,这个杀手不太冷,                            1994 , 剧情/动作/犯罪,9.4,816394, 法国 ,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
3,阿甘正传,                            1994 , 剧情/爱情,9.4,697593, 美国 ,一部美国近现代史。,https://movie.douban.com/subject/1292720/
4,美丽人生,                            1997 , 剧情/喜剧/爱情/战争,9.5,406591, 意大利 ,最美的谎言。,https://movie.douban.com/subject/1292063/
5,千与千寻,                            2001 , 剧情/动画/奇幻,9.2,649325, 日本 ,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
6,辛德勒的名单,                            1993 , 剧情/历史/战争,9.4,375528, 美国 ,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
7,泰坦尼克号,                            1997 , 剧情/爱情/灾难,9.2,641449, 美国 ,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
8,盗梦空间,                            2010 , 剧情/动作/科幻/悬疑/冒险,9.2,749476, 美国/英国 ,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
9,机器人总动员,                            2008 , 喜剧/爱情/科幻/动画/冒险,9.3,491691, 美国 ,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
10,海上钢琴师,                            1998 , 剧情/音乐,9.2,591047, 意大利 ,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
11,三傻大闹宝莱坞,                            2009 , 剧情/喜剧/爱情/歌舞,9.1,661758, 印度 ,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
12,忠犬八公的故事,                            2009 , 剧情,9.2,445212, 美国/英国 ,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
13,放牛班的春天,                            2004 , 剧情/音乐,9.2,444282, 法国/瑞士/德国 ,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
14,大话西游之大圣娶亲,                            1995 , 动作/冒险/喜剧/奇幻/爱情,9.2,478919, 香港/中国大陆 ,一生所爱。,https://movie.douban.com/subject/1292213/
15,龙猫,                            1988 , 动画/奇幻,9.1,411192, 日本 ,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
16,教父,                            1972 , 剧情/犯罪,9.2,338028, 美国 ,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
17,楚门的世界,                            1998 , 剧情/科幻,9.0,443990, 美国 ,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
18,乱世佳人,                            1940 , 剧情/爱情/战争,9.2,267125, 美国 ,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
