regionId,name,country,color,coordinates,frequency,width
104->8,圣托里尼岛->罗马,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 12.496366,41.902783,0.0</coordinates></LineString></MultiGeometry>",690964,13
104->16,圣托里尼岛->慕尼黑,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 11.581981,48.135125,0.0</coordinates></LineString></MultiGeometry>",149348,11
104->11,圣托里尼岛->苏黎世,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 8.541694,47.376887,0.0</coordinates></LineString></MultiGeometry>",223934,11
104->3,圣托里尼岛->雅典,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 23.727539,37.98381,0.0</coordinates></LineString></MultiGeometry>",296983,11
104->1,圣托里尼岛->巴黎,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 2.352222,48.856614,0.0</coordinates></LineString></MultiGeometry>",102697,11
104->103,圣托里尼岛->米科诺斯岛,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 25.354782,37.448058,0.0</coordinates></LineString></MultiGeometry>",18285,9
104->101,圣托里尼岛->扎金索斯岛,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 20.750724,37.793465,0.0</coordinates></LineString></MultiGeometry>",19126,9
104->15,圣托里尼岛->日内瓦,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 6.143158,46.204391,0.0</coordinates></LineString></MultiGeometry>",183554,11
104->383,圣托里尼岛->塞戈维亚,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 -4.108807,40.942903,0.0</coordinates></LineString></MultiGeometry>",187097,11
104->18,圣托里尼岛->巴塞罗那,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 2.173404,41.385064,0.0</coordinates></LineString></MultiGeometry>",54409,11
104->367,圣托里尼岛->阿维尼翁,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 4.805528,43.949317,0.0</coordinates></LineString></MultiGeometry>",31848,11
104->17,圣托里尼岛->马德里,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 -3.70379,40.416775,0.0</coordinates></LineString></MultiGeometry>",204766,11
104->9,圣托里尼岛->佛罗伦萨,Greece,#EF2D4B,"<MultiGeometry><LineString><coordinates>25.458231,36.403293,0.0 11.255814,43.76956,0.0</coordinates></LineString></MultiGeometry>",32545,11
8->9,罗马->佛罗伦萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 11.255814,43.76956,0.0</coordinates></LineString></MultiGeometry>",3515135,15
8->383,罗马->塞戈维亚,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 -4.108807,40.942903,0.0</coordinates></LineString></MultiGeometry>",143710,11
8->6,罗马->阿姆斯特丹,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 4.895168,52.370216,0.0</coordinates></LineString></MultiGeometry>",33170,11
8->3,罗马->雅典,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 23.727539,37.98381,0.0</coordinates></LineString></MultiGeometry>",334496,13
8->104,罗马->圣托里尼岛,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 25.458231,36.403293,0.0</coordinates></LineString></MultiGeometry>",216414,11
8->616,罗马->白露里治奥古城,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 12.113039,42.627575,0.0</coordinates></LineString></MultiGeometry>",62068,11
8->452,罗马->卡塔尼亚,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 15.08303,37.507877,0.0</coordinates></LineString></MultiGeometry>",304463,11
8->17,罗马->马德里,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 -3.70379,40.416775,0.0</coordinates></LineString></MultiGeometry>",139051,11
8->601,罗马->庞培,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 14.498934,40.746157,0.0</coordinates></LineString></MultiGeometry>",67788,11
8->1,罗马->巴黎,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 2.352222,48.856614,0.0</coordinates></LineString></MultiGeometry>",6403,9
8->110,罗马->布达佩斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 19.031082,47.496968,0.0</coordinates></LineString></MultiGeometry>",19835,9
8->135,罗马->伦敦,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 -0.129958,51.540865,0.0</coordinates></LineString></MultiGeometry>",38386,11
8->7,罗马->米兰,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 9.185924,45.465422,0.0</coordinates></LineString></MultiGeometry>",14458,9
8->436,罗马->那不勒斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 14.268124,40.851775,0.0</coordinates></LineString></MultiGeometry>",38776,11
8->296,罗马->锡耶纳,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 11.330757,43.318809,0.0</coordinates></LineString></MultiGeometry>",26340,9
8->263,罗马->布拉格,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 14.437801,50.075538,0.0</coordinates></LineString></MultiGeometry>",5742,9
8->451,罗马->陶尔米纳,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 15.285313,37.851637,0.0</coordinates></LineString></MultiGeometry>",7336,9
8->14,罗马->五渔村,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 9.712391,44.128109,0.0</coordinates></LineString></MultiGeometry>",14971,9
8->91,罗马->威尼斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 12.309386,45.543401,0.0</coordinates></LineString></MultiGeometry>",17607,9
8->367,罗马->阿维尼翁,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 4.805528,43.949317,0.0</coordinates></LineString></MultiGeometry>",1911,7
8->423,罗马->比萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 10.401689,43.722839,0.0</coordinates></LineString></MultiGeometry>",1607,7
8->105,罗马->克鲁姆洛夫,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 14.318539,48.81283,0.0</coordinates></LineString></MultiGeometry>",5209,9
8->11,罗马->苏黎世,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 8.541694,47.376887,0.0</coordinates></LineString></MultiGeometry>",5076,9
8->541,罗马->阿尔贝罗贝洛,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 17.24093,40.786423,0.0</coordinates></LineString></MultiGeometry>",386,7
8->18,罗马->巴塞罗那,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 2.173404,41.385064,0.0</coordinates></LineString></MultiGeometry>",18,3
8->157,罗马->柏林,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 13.394516,52.520013,0.0</coordinates></LineString></MultiGeometry>",356,7
8->5,罗马->维也纳,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 16.373819,48.208174,0.0</coordinates></LineString></MultiGeometry>",543,7
8->15,罗马->日内瓦,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 6.143158,46.204391,0.0</coordinates></LineString></MultiGeometry>",2,1
8->256,罗马->尼斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.496366,41.902783,0.0 7.261953,43.710173,0.0</coordinates></LineString></MultiGeometry>",4,3
9->14,佛罗伦萨->五渔村,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 9.712391,44.128109,0.0</coordinates></LineString></MultiGeometry>",1784191,13
9->296,佛罗伦萨->锡耶纳,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 11.330757,43.318809,0.0</coordinates></LineString></MultiGeometry>",336211,13
9->423,佛罗伦萨->比萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 10.401689,43.722839,0.0</coordinates></LineString></MultiGeometry>",1464200,13
9->8,佛罗伦萨->罗马,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 12.496366,41.902783,0.0</coordinates></LineString></MultiGeometry>",1049351,13
9->91,佛罗伦萨->威尼斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 12.309386,45.543401,0.0</coordinates></LineString></MultiGeometry>",1992317,13
9->11,佛罗伦萨->苏黎世,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 8.541694,47.376887,0.0</coordinates></LineString></MultiGeometry>",64985,11
9->489,佛罗伦萨->卢卡,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 10.495061,43.837621,0.0</coordinates></LineString></MultiGeometry>",33934,11
9->348,佛罗伦萨->圣吉米尼亚诺,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 11.043491,43.467632,0.0</coordinates></LineString></MultiGeometry>",90987,11
9->7,佛罗伦萨->米兰,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 9.185924,45.465422,0.0</coordinates></LineString></MultiGeometry>",192280,11
9->12,佛罗伦萨->卢塞恩,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 8.310405,47.04952,0.0</coordinates></LineString></MultiGeometry>",48085,11
9->436,佛罗伦萨->那不勒斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 14.268124,40.851775,0.0</coordinates></LineString></MultiGeometry>",24492,9
9->277,佛罗伦萨->都灵,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 7.686857,45.070312,0.0</coordinates></LineString></MultiGeometry>",98162,11
9->135,佛罗伦萨->伦敦,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 -0.129958,51.540865,0.0</coordinates></LineString></MultiGeometry>",4809,9
9->92,佛罗伦萨->博洛尼亚,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 11.329468,44.49384,0.0</coordinates></LineString></MultiGeometry>",41544,11
9->1,佛罗伦萨->巴黎,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.255814,43.76956,0.0 2.352222,48.856614,0.0</coordinates></LineString></MultiGeometry>",17065,9
14->9,五渔村->佛罗伦萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 11.255814,43.76956,0.0</coordinates></LineString></MultiGeometry>",967176,13
14->91,五渔村->威尼斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 12.309386,45.543401,0.0</coordinates></LineString></MultiGeometry>",751865,13
14->8,五渔村->罗马,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 12.496366,41.902783,0.0</coordinates></LineString></MultiGeometry>",49160,11
14->7,五渔村->米兰,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 9.185924,45.465422,0.0</coordinates></LineString></MultiGeometry>",52009,11
14->423,五渔村->比萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 10.401689,43.722839,0.0</coordinates></LineString></MultiGeometry>",50532,11
14->601,五渔村->庞培,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>9.712391,44.128109,0.0 14.498934,40.746157,0.0</coordinates></LineString></MultiGeometry>",2431,7
296->91,锡耶纳->威尼斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 12.309386,45.543401,0.0</coordinates></LineString></MultiGeometry>",298195,11
296->423,锡耶纳->比萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 10.401689,43.722839,0.0</coordinates></LineString></MultiGeometry>",86738,11
296->436,锡耶纳->那不勒斯,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 14.268124,40.851775,0.0</coordinates></LineString></MultiGeometry>",27829,9
296->9,锡耶纳->佛罗伦萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 11.255814,43.76956,0.0</coordinates></LineString></MultiGeometry>",37588,11
296->616,锡耶纳->白露里治奥古城,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 12.113039,42.627575,0.0</coordinates></LineString></MultiGeometry>",4249,9
296->8,锡耶纳->罗马,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 12.496366,41.902783,0.0</coordinates></LineString></MultiGeometry>",2144,7
296->348,锡耶纳->圣吉米尼亚诺,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.330757,43.318809,0.0 11.043491,43.467632,0.0</coordinates></LineString></MultiGeometry>",4833,9
91->7,威尼斯->米兰,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.309386,45.543401,0.0 9.185924,45.465422,0.0</coordinates></LineString></MultiGeometry>",2232030,13
91->9,威尼斯->佛罗伦萨,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>12.309386,45.543401,0.0 11.255814,43.76956,0.0</coordinates></LineString></MultiGeometry>",1239691,13
